1324046538979	0	B	Logging Begins
1324046538979	0	EXP_START
1324046539338	1	INSTRUCT
1324046585729	1	ITEM	NEO_001	3	18729
1324046604536	1	ITEM	NEO_002	3	18701
1324046623319	1	ITEM	NEO_003	3	14339
1324046637723	1	ITEM	NEO_004	2	8634
1324046646433	1	ITEM	NEO_005	4	12910
1324046659414	1	ITEM	NEO_006	3	4327
1324046663806	1	ITEM	NEO_007	3	8143
1324046672016	1	ITEM	NEO_008	4	8276
1324046680353	1	ITEM	NEO_009	2	10021
1324046690447	1	ITEM	NEO_010	2	10410
1324046700924	1	ITEM	NEO_011	3	4031
1324046705022	1	ITEM	NEO_012	3	4951
1324046710040	1	ITEM	NEO_013	3	14055
1324046724163	1	ITEM	NEO_014	2	7269
1324046731498	1	ITEM	NEO_015	4	6291
1324046737859	1	ITEM	NEO_016	3	4682
1324046742603	1	ITEM	NEO_017	3	5972
1324046748634	1	ITEM	NEO_018	2	8650
1324046757352	1	ITEM	NEO_019	3	5024
1324046762439	1	ITEM	NEO_020	3	3784
1324046766288	1	ITEM	NEO_021	3	5156
1324046771507	1	ITEM	NEO_022	2	15104
1324046786685	1	ITEM	NEO_023	4	6346
1324046793101	1	ITEM	NEO_024	2	15576
1324046808746	1	ITEM	NEO_025	4	8361
1324046817176	1	ITEM	NEO_026	2	3848
1324046821086	1	ITEM	NEO_027	2	9657
1324046830824	1	ITEM	NEO_028	2	12038
1324046842929	1	ITEM	NEO_029	5	12359
1324046855352	1	ITEM	NEO_030	5	7769
1324046863181	1	ITEM	NEO_031	2	3265
1324046866514	1	ITEM	NEO_032	1	8701
1324046875290	1	ITEM	NEO_033	3	5326
1324046880690	1	ITEM	NEO_034	5	8820
1324046889577	1	ITEM	NEO_035	1	9321
1324046898964	1	ITEM	NEO_036	3	3953
1324046902979	1	ITEM	NEO_037	3	5627
1324046908676	1	ITEM	NEO_038	5	20576
1324046929320	1	ITEM	NEO_039	3	10682
1324046940098	1	ITEM	NEO_040	4	10335
1324046950557	1	ITEM	NEO_041	2	3425
1324046954100	1	ITEM	NEO_042	3	3995
1324046958216	1	ITEM	NEO_043	3	3827
1324046962165	1	ITEM	NEO_044	5	20116
1324046982397	1	ITEM	NEO_045	4	6705
1324046989212	1	ITEM	NEO_046	4	4978
1324046994327	1	ITEM	NEO_047	4	7624
1324047002126	1	ITEM	NEO_048	4	4075
1324047006378	1	ITEM	NEO_049	5	3346
1324047009887	1	ITEM	NEO_050	4	2999
1324047013102	1	ITEM	NEO_051	3	5258
1324047018588	1	ITEM	NEO_052	3	4767
1324047023441	1	ITEM	NEO_053	3	4361
1324047027872	1	ITEM	NEO_054	1	7926
1324047035868	1	ITEM	NEO_055	1	11855
1324047047796	1	ITEM	NEO_056	5	6001
1324047053861	1	ITEM	NEO_057	5	6387
1324047060325	1	ITEM	NEO_058	5	8153
1324047068550	1	ITEM	NEO_059	3	5552
1324047074168	1	ITEM	NEO_060	4	3312
1324047077544	1	ITEM	NEO_061	2	9084
1324047086694	1	ITEM	NEO_062	4	4939
1324047091693	1	ITEM	NEO_063	4	7092
1324047098857	1	ITEM	NEO_064	4	4615
1324047103540	1	ITEM	NEO_065	4	4277
1324047107888	1	ITEM	NEO_066	2	5341
1324047113299	1	ITEM	NEO_067	3	3180
1324047116547	1	ITEM	NEO_068	3	6771
1324047123380	1	ITEM	NEO_069	3	10992
1324047134439	1	ITEM	NEO_070	2	7053
1324047141551	1	ITEM	NEO_071	5	5512
1324047147134	1	ITEM	NEO_072	3	7970
1324047155165	1	ITEM	NEO_073	3	15037
1324047170267	1	ITEM	NEO_074	1	4593
1324047174923	1	ITEM	NEO_075	5	4554
1324047179553	1	ITEM	NEO_076	2	6864
1324047186482	1	ITEM	NEO_077	2	8036
1324047194588	1	ITEM	NEO_078	3	12907
1324047207574	1	ITEM	NEO_079	2	7060
1324047214707	1	ITEM	NEO_080	2	11896
1324047226680	1	ITEM	NEO_081	4	8331
1324047235077	1	ITEM	NEO_082	4	6021
1324047241172	1	ITEM	NEO_083	4	2222
